2024-07-14 19:30:20,029 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Configure stats pid to 107486
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Loading settings from /home/edge/.config/wandb/settings
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Loading settings from /home/edge/dev/py/minGPTtoONNX/python/wandb/settings
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python/src/torch-training.py', 'program_abspath': '/home/edge/dev/py/minGPTtoONNX/python/src/torch-training.py', 'program': '/home/edge/dev/py/minGPTtoONNX/python/src/torch-training.py'}
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:_log_setup():529] Logging user logs to /home/edge/dev/py/minGPTtoONNX/python/wandb/run-20240714_193020-r8gb4zwr/logs/debug.log
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:_log_setup():530] Logging internal logs to /home/edge/dev/py/minGPTtoONNX/python/wandb/run-20240714_193020-r8gb4zwr/logs/debug-internal.log
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:init():569] calling init triggers
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'model_type': 'gpt-nano', 'batch_size': 16, 'block_size': 11, 'vocab_size': 3, 'pretrained': False, 'device': 'cpu', 'max_iters': 1000, 'learning_rate': 0.0001, 'use_wandb': True}
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:init():619] starting backend
2024-07-14 19:30:20,030 INFO    MainThread:107486 [wandb_init.py:init():623] setting up manager
2024-07-14 19:30:20,031 INFO    MainThread:107486 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-14 19:30:20,033 INFO    MainThread:107486 [wandb_init.py:init():631] backend started and connected
2024-07-14 19:30:20,035 INFO    MainThread:107486 [wandb_init.py:init():720] updated telemetry
2024-07-14 19:30:20,038 INFO    MainThread:107486 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-14 19:30:20,532 INFO    MainThread:107486 [wandb_run.py:_on_init():2402] communicating current version
2024-07-14 19:30:20,712 INFO    MainThread:107486 [wandb_run.py:_on_init():2411] got version response 
2024-07-14 19:30:20,712 INFO    MainThread:107486 [wandb_init.py:init():804] starting run threads in backend
2024-07-14 19:30:23,957 INFO    MainThread:107486 [wandb_run.py:_console_start():2380] atexit reg
2024-07-14 19:30:23,957 INFO    MainThread:107486 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-14 19:30:23,957 INFO    MainThread:107486 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-14 19:30:23,957 INFO    MainThread:107486 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-14 19:30:23,958 INFO    MainThread:107486 [wandb_init.py:init():847] run started, returning control to user process
2024-07-14 19:30:38,692 INFO    MainThread:107486 [wandb_run.py:_finish():2109] finishing run otters-gang/onnx-llm/r8gb4zwr
2024-07-14 19:30:38,692 INFO    MainThread:107486 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-14 19:30:38,692 INFO    MainThread:107486 [wandb_run.py:_restore():2332] restore
2024-07-14 19:30:38,692 INFO    MainThread:107486 [wandb_run.py:_restore():2338] restore done
2024-07-14 19:30:45,539 INFO    MainThread:107486 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-14 19:30:45,539 INFO    MainThread:107486 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-14 19:30:45,548 INFO    MainThread:107486 [wandb_run.py:_footer_sync_info():3950] logging synced files
